2026-05-19 21:22:04,226 [INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 21:22:04,227 [INFO] apscheduler.scheduler: Added job "check_and_send_reminders" to job store "default"
2026-05-19 21:22:04,227 [INFO] apscheduler.scheduler: Scheduler started
2026-05-19 21:22:04,227 [INFO] bot.scheduler: Scheduler started — checking reminders every 30 seconds.
2026-05-19 21:22:04,227 [INFO] __main__: Bot is starting in polling mode...
2026-05-19 21:22:34,232 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:23:04 +05)" (scheduled at 2026-05-19 21:22:34.226524+05:00)
2026-05-19 21:22:34,243 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:23:04 +05)" executed successfully
2026-05-19 21:23:04,231 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:23:34 +05)" (scheduled at 2026-05-19 21:23:04.226524+05:00)
2026-05-19 21:23:04,235 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:23:34 +05)" executed successfully
2026-05-19 21:23:34,228 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:24:04 +05)" (scheduled at 2026-05-19 21:23:34.226524+05:00)
2026-05-19 21:23:34,233 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:24:04 +05)" executed successfully
2026-05-19 21:24:04,231 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:24:34 +05)" (scheduled at 2026-05-19 21:24:04.226524+05:00)
2026-05-19 21:24:04,237 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:24:34 +05)" executed successfully
2026-05-19 21:24:34,232 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:25:04 +05)" (scheduled at 2026-05-19 21:24:34.226524+05:00)
2026-05-19 21:24:34,234 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:25:04 +05)" executed successfully
2026-05-19 21:25:04,283 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:25:34 +05)" (scheduled at 2026-05-19 21:25:04.226524+05:00)
2026-05-19 21:25:04,289 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:25:34 +05)" executed successfully
2026-05-19 21:25:34,228 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:26:04 +05)" (scheduled at 2026-05-19 21:25:34.226524+05:00)
2026-05-19 21:25:34,232 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:26:04 +05)" executed successfully
2026-05-19 21:26:04,230 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:26:34 +05)" (scheduled at 2026-05-19 21:26:04.226524+05:00)
2026-05-19 21:26:04,233 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:26:34 +05)" executed successfully
2026-05-19 21:26:34,232 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:27:04 +05)" (scheduled at 2026-05-19 21:26:34.226524+05:00)
2026-05-19 21:26:34,241 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:27:04 +05)" executed successfully
2026-05-19 21:27:04,231 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:27:34 +05)" (scheduled at 2026-05-19 21:27:04.226524+05:00)
2026-05-19 21:27:04,238 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:27:34 +05)" executed successfully
2026-05-19 21:27:34,234 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:28:04 +05)" (scheduled at 2026-05-19 21:27:34.226524+05:00)
